"hawker","type","stars","votes","status","address","datetime"
"Han Kee Fish Soup","Hawker Stall ","4.2","528","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Coffee Break at Amoy Street 咖啡快座","Hawker Stall ","3.9","329","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"標记 Piao Ji Fish Porridge","Hawker Stall ","4.2","237","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Stay Gold Flamingo","Cafe ","4.6","232","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Ah Ter Teochew Fishball Noodles","Hawker Stall ","4.0","219","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Quan Ji (權记）","Hawker Stall ","3.9","213","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Ah Seng (Hai Nam) Coffee","Hawker Stall ","3.9","208","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"J2 Famous Crispy Curry Puff","Hawker Stall ","4.5","198","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Spicy Wife Nasi Lemak @ Amoy Street Food Centre","Hawker Stall ","4.7","196","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Mad Roaster","Coffee store ","4.5","188","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Yuan Chun Famous Lor Mee","Hawker Stall ","2.4","154","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"SoupeRich","Soup ","4.0","122","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Craft’B","Fusion restaurant ","4.6","103","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Pepper Bowl","Hawker Stall ","4.5","103","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"A Noodle Story","Hawker Stall ","4.0","100","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Mr Batang Fish @96","Hawker Stall ","4.7","95","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Madam Leong Traditional Ban Mian","Hawker Stall ","4.0","90","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Lagoon In A Bowl","Hawker Stall ","4.6","90","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Swan City NoodleHouse","Hawker Stall ","4.4","89","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"James’ Quesadillas & Brunch","Hawker Stall ","4.5","88","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Rayyan’s Waroeng Upnormal -Le Original","Hawker Stall ","4.5","87","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Wah Kee Noodle (#02-125)","Hawker Stall ","4.3","69","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Tong Fong Fatt Hainanese Boneless Chicken Rice","Hawker Stall ","2.5","69","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Fried Kway Teow @ Amoy","Hawker Stall ","3.7","65","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Good Day","Hawker Stall ","4.5","60","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Life Coffee (Vietnamese)","Coffee shop ","4.3","56","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"PHO Hanoi","Hawker Stall ","4.8","55","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"椿风满面 (Chun Feng Man Mian) Chun Noodle Bar - Amoy","Noodle Shop ","4.4","50","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Hoo Kee Rice Dumpling","Hawker Stall ","4.0","50","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Chop Chop Biryani & Meats","Hawker Stall ","4.5","49","Inactive","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Jin's Noodle (#02-110)","Hawker Stall ","4.5","49","Inactive","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Teochew Kway Chap 郭亞吟潮州粿汁","Hawker Stall ","4.6","43","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Min Kee Hainanese Chicken Rice","Hawker Stall ","4.6","41","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Grandma Ban Mian 老妈子板面","Hawker Stall ","4.1","40","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Choon Seng Coffee","Hawker Stall ","4.8","37","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"The Little Red Hen","Malaysian ","4.6","37","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Egg Fried Rice 蛋炒饭 (#01-47)","Hawker Stall ","4.1","33","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Big Bowls Project","Hawker Stall ","4.0","30","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Shi Nian Pig Leg Rice 石年猪脚饭 @ Amoy Street Food Centre","Hawker Stall ","3.2","29","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Qi Ji Guan 奇记馆","Hawker Stall ","4.4","28","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Bake_Of","Bakery ","4.5","28","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Yong Teochew Sliced Fish Meatball Soup","Coffee shop ","3.4","26","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"B Salad Kitchen","Hawker Stall ","4.7","25","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Cha Dian 茶點小吃","Hawker Stall ","4.3","25","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"三好骨汤面(San Hao Gu Tang Mian)","Hawker Stall ","4.6","24","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Amoy Nasi Lemak.","Hawker Stall ","4.8","24","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Teo Heng Teochew Porridge","Hawker Stall ","4.4","23","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"新港粥品 New Hong Kong Congee","Hawker Stall ","4.4","23","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Syed Mohamed Drinks","Hawker Stall ","4.9","22","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"The Original Vadai Shop","Hawker Stall ","4.0","22","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Luan Jie Mei Shi","Hawker Stall ","4.6","22","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Jin Hai Cooked Food","Hawker Stall ","4.7","22","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Traditional Teochew Handmade Fishball & Mushroom Minced Meat Noodle","Hawker Stall ","4.3","21","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"老豆 Lao Dou Soya Beancurd & Drink","Hawker Stall ","4.3","18","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Xiang Xiang Hainanese Chicken Rice","Hawker Stall ","3.4","16","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Bismillah Food Stall","Hawker Stall ","2.9","16","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Wang wang fish soup 旺旺手工面鱼汤","Hawker Stall ","3.9","15","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Li Xing Nasi Lemak (#02-81)","Hawker Stall ","4.4","15","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Warung Parsanga","Hawker Stall ","4.1","14","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Nora’s Kitchen","Hawker Stall ","3.1","14","Unknown","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Xin Heng Handmade Noodle","Hawker Stall ","4.3","14","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Bismi Tea Stall","Hawker Stall ","4.6","14","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Amoy Street 02-118 Porridge","Hawker Stall ","4.7","14","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
"Mizu Shake Bar (水みず)","Hawker Stall ","4.8","13","Active","Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","2024-10-06"
