"address","latitude","longitude"
"105 Hougang Ave 1, Singapore 530105","1.3540216","103.8900219"
"155 Bukit Batok Street 11, Singapore 650155","1.3480058","103.7410577"
"20 Ghim Moh Road Market & Food Centre","1.3109708","103.7883085"
"226D Ang Mo Kio Ave 1, Singapore 564226","1.366795","103.839176"
"409 AMK Market And Food Centre 409 Ang Mo Kio Ave 10, Singapore 560409","1.3626312","103.8553282"
"48A Tanglin Halt Rd, Singapore 148813","1.3009859","103.7980608"
"48A Tanglin Halt Rd, Singapore 148813, Singapore","1.3009859","103.7980608"
"511 Bedok North Street 3, Singapore 460511","1.333192","103.9305229"
"628 Ang Mo Kio Ave 4, Ang Mo Kio 628 Market, Singapore 560628","1.380884","103.8405902"
"ABC Brickworks Market & Food Centre Blk 6, Jalan Bukit Merah, S(150006)","1.2869047","103.8081551"
"Adam Food Centre 2, Adam Road, S(289876)","1.3240414","103.8141545"
"Albert Centre 270 Queen St, Singapore 180270","1.3009027","103.8544385"
"Alexandra Village Food Centre Blk 120, Bukit Merah Lane 1, S(150120)","1.2863397","103.8045184"
"Aljunied Avenue 2 Market & Food Centre 117 Aljunied Ave 2, Singapore 380095","1.320558","103.8866588"
"Amoy Street Food Centre 7 Maxwell Rd, Singapore 069111","1.2794274","103.8467957"
"Ayer Rajah Food Centre 503 W Coast Dr, Singapore 120503","1.3118695","103.7597825"
"Bedok 538 Market and Food Centre 538 Bedok North Street 3, Singapore 460538","1.3318842","103.9250946"
"Bedok 85 Market 85 Bedok North Street 4, Singapore 460085","1.3320047","103.9387362"
"Bedok Food Centre 1, Bedok Road, S(469572)","1.3205271","103.9554844"
"Bendemeer Road, Bendemeer Market & Food Centre, Singapore","1.3190671","103.863121"
"Beo Crescent Market 38A, Beo Crescent, S(169982)","1.2887207","103.8275188"
"Berseh Food Centre 166, Jalan Besar, S(208877)","1.3073539","103.8567494"
"Blk 112 Jalan Bukit Merah Blk 112, Jalan Bukit Merah, S(160112)","1.2800984","103.8259408"
"Blk 216 Bedok Food Centre and Market","1.3275219","103.9333799"
"Blk 4A Jalan Batu Blk 4A, Jalan Batu, S(432004)","1.3021706","103.8838834"
"Blk 50A Marine Terrace Blk 50A, Marine Terrace, S(441050)","1.3057714","103.9157338"
"Blk 630 Bedok Reservoir Road Blk 630, Bedok Reservoir Road, S(470630)","1.3330218","103.914136"
"Blk 69 Geylang Bahru Blk 69, Geylang Bahru, S(330069)","1.3215895","103.8700637"
"Blk 724 Ang Mo Kio Ave 6 Blk 724, Ang Mo Kio Ave 6, S(560724)","1.3721841","103.8465592"
"Blk 75 Toa Payoh Lorong 5 # Blk 75, Lorong 5 Toa Payoh, S(310075) Bishan – Toa Payoh Town Council","1.3360455","103.8529916"
"Blk 84 Marine Parade Central Blk 84, Marine Parade Central, S(440084)","1.3023792","103.906311"
"Blk 90 Whampoa Drive","1.3230663","103.8550175"
"Blk 91 Whampoa Drive","1.3234136","103.8540837"
"Block 16 Bedok South Market & Food Centre 16 Bedok S Rd, Singapore 460016","1.3204181","103.9354884"
"Boon Lay Place Market and Food Village Blks 221A Boon Lay Place","1.3457434","103.7130672"
"Bukit Merah Central Food Centre 163 Bukit Merah Central, Singapore 150163","1.2834536","103.8174057"
"Bukit Merah View Market & Hawker Centre 115 Bukit Merah View, Singapore 151115","1.2854726","103.822269"
"Bukit Timah Market 51, Upper Bukit Timah Road, S(588215)","1.3393531","103.7759509"
"Changi Village Hawker Centre 2 Changi Village Rd, Singapore 500002","1.3892375","103.9883008"
"Cheng San Market & Cooked Food Centre","1.3728057","103.8544582"
"Chinatown Complex 335 Smith St, S 050335","1.2825863","103.8430923"
"Chomp Chomp Food Centre 20, Kensington Park Road, S(557269)","1.3642304","103.8664113"
"Chong Pang Market & Food Centre # Blks 104/105, Yishun Ring Road, S(760104/760105) Nee Soon Town Council","1.4316885","103.8283204"
"Ci Yuan Hawker Centre 51 Hougang Ave 9, Ci Yuan Community Centre","1.3750855","103.8803459"
"Circuit Road Hawker Centre 79 & 79A, Circuit Rd, Singapore 370079","1.352083","103.819836"
"Circuit Road Market & Food Centre 80 Circuit Road, S(370080)","1.3277789","103.8869459"
"Clementi 448 Market & Food Centre 448 Clementi Ave 3, Singapore 120448","1.3134126","103.7645571"
"Commonwealth Crescent Market 31, Commonwealth Crescent, S(149644)","1.3069482","103.800383"
"Dunman Food Centre 271, Onan Road, S(424768)","1.3094353","103.9018307"
"East Coast Lagoon Food Village 1220, East Coast Parkway, S(468960)","1.3069299","103.9349594"
"Empress Market 7 Empress Rd, Singapore 260007","1.3162641","103.8056312"
"Eunos Crescent Market and Food Centre 4A Eunos Cres, Singapore 402004","1.3203419","103.9040374"
"Fernvale Hawker Centre & Market 21 Sengkang West Ave, Fernvale Community Club","1.3916389","103.8771037"
"Geylang Serai Market Geylang Serai","1.3167284","103.8982767"
"Golden Mile Food Centre 505, Beach Road, S(199583)","1.3030908","103.8639299"
"Haig Road Market & Food Centre 14 Haig Rd, Singapore 430014","1.3152015","103.8955498"
"Havelock Road Cooked Food Centre 22A Havelock Rd, Singapore 161022","1.2877706","103.8295334"
"Hawker Centre @ Our Tampines Hub 1 Tampines Central 1","1.3528162","103.9370613"
"Holland Drive Market and Food Centre 44 Holland Dr, Singapore 270044","1.308167","103.7927992"
"Holland Village Market & Food Centre 1, Lorong Mambong, S(277700)","1.3112134","103.7950362"
"Hong Lim Market & Food Centre Blk 531A, Upper Cross Street, S(051531)","1.2853948","103.8458272"
